"word_id" "word_status" "repnum" "repstatus" "run" "lag" "correct" "RT" "crossrun" "sid"
52 "pseudo" 6 "REPEAT" 2 1 1 955.6344 FALSE 1001
7 "real" 3 "REPEAT" 2 8 1 932.6488 FALSE 1001
52 "pseudo" 7 "REPEAT" 2 2 1 979.9914 FALSE 1001
35 "pseudo" 2 "REPEAT" 3 1 1 1438.4691 TRUE 1001
26 "real" 1 "REPEAT" 3 0 1 867.2093 FALSE 1001
0 "pseudo" 1 "NOVEL" 3 0 0 1071.6286 FALSE 1001
0 "pseudo" 1 "NOVEL" 3 0 0 966.0141 FALSE 1001
18 "pseudo" 3 "REPEAT" 3 32 0 1304.7097 TRUE 1001
0 "pseudo" 1 "NOVEL" 3 0 1 1193.0023 FALSE 1001
18 "pseudo" 4 "REPEAT" 3 2 1 1117.1098 FALSE 1001
18 "pseudo" 5 "REPEAT" 3 1 1 632.8133 FALSE 1001
0 "pseudo" 1 "NOVEL" 3 0 0 1247.197 FALSE 1001
26 "real" 2 "REPEAT" 3 8 1 818.9392 FALSE 1001
26 "real" 3 "REPEAT" 3 1 1 692.5947 FALSE 1001
18 "pseudo" 6 "REPEAT" 3 4 0 950.6954 FALSE 1001
0 "real" 1 "NOVEL" 3 0 1 1347.7856 FALSE 1001
37 "real" 3 "REPEAT" 3 32 1 989.6194 TRUE 1001
37 "real" 4 "REPEAT" 3 1 1 881.8744 FALSE 1001
50 "pseudo" 6 "REPEAT" 3 32 1 1197.0613 TRUE 1001
35 "pseudo" 3 "REPEAT" 3 16 0 1149.7132 FALSE 1001
0 "real" 1 "NOVEL" 3 0 0 1587.6465 FALSE 1001
31 "pseudo" 3 "REPEAT" 3 32 1 1089.97 TRUE 1001
31 "pseudo" 4 "REPEAT" 3 1 1 756.5485 FALSE 1001
0 "pseudo" 1 "NOVEL" 3 0 0 918.6128 FALSE 1001
0 "pseudo" 1 "NOVEL" 3 0 1 983.9622 FALSE 1001
37 "real" 5 "REPEAT" 3 8 1 851.7604 FALSE 1001
0 "pseudo" 1 "NOVEL" 3 0 1 1153.1404 FALSE 1001
37 "real" 6 "REPEAT" 3 2 1 799.8899 FALSE 1001
0 "real" 1 "NOVEL" 3 0 1 1168.4447 FALSE 1001
26 "real" 4 "REPEAT" 3 16 1 719.5437 FALSE 1001
18 "pseudo" 7 "REPEAT" 3 16 1 1148.6017 FALSE 1001
